id,lat,lon,category,geometry,address,geom,address_list,region,city
1,41.81426606,3.06798443,B,POINT (3.06798443 41.81426606),"Bronze boy, Passeig Marítim, Castell-Platja d'Aro, Baix Empordà, Girona, Catalunya, 17248, España","('41.81426606', '3.06798443')","['Bronze boy', 'Passeig Marítim', ""Castell-Platja d'Aro"", 'Baix Empordà', 'Girona', 'Catalunya', '17248', 'España']",Catalunya,Girona
2,41.62967682,0.89391515,B,POINT (0.89391515 41.62967682),"Plaça de l'Ajuntament, Mollerussa, Pla d'Urgell, Lleida, Catalunya, 25230, España","('41.62967682', '0.89391515')","[""Plaça de l'Ajuntament"", 'Mollerussa', ""Pla d'Urgell"", 'Lleida', 'Catalunya', '25230', 'España']",Catalunya,Lleida
3,42.0078373,-4.53460106,B,POINT (-4.53460106 42.0078373),"Iglesia de San Miguel, Calle Doctrinos, San Pablo y Santa Marina, Centro, Palencia, Castilla y León, 34001, España","('42.0078373', '-4.53460106')","['Iglesia de San Miguel', 'Calle Doctrinos', 'San Pablo y Santa Marina', 'Centro', 'Palencia', 'Castilla y León', '34001', 'España']",Castilla y León,Palencia
4,41.38424664,2.17634927,B,POINT (2.17634927 41.38424664),"Catedral de la Santa Creu i Santa Eulàlia, Carrer dels Comtes, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","('41.38424664', '2.17634927')","['Catedral de la Santa Creu i Santa Eulàlia', 'Carrer dels Comtes', 'el Gòtic', 'Ciutat Vella', 'Barcelona', 'Barcelonès', 'Barcelona', 'Catalunya', '08001', 'España']",Catalunya,Barcelona
5,40.40841191,-3.68760088,B,POINT (-3.68760088 40.40841191),"Edificio Villanueva, Calle de Alfonso XII, Jerónimos, Retiro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, España","('40.40841191', '-3.68760088')","['Edificio Villanueva', 'Calle de Alfonso XII', 'Jerónimos', 'Retiro', 'Madrid', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28014', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares
6,37.38620512,-5.99251368,B,POINT (-5.99251368 37.38620512),"La Giralda, Plaza Virgen de los Reyes, Santa Cruz, Casco Antiguo, Sevilla, Andalucía, 41004, España","('37.38620512', '-5.99251368')","['La Giralda', 'Plaza Virgen de los Reyes', 'Santa Cruz', 'Casco Antiguo', 'Sevilla', 'Andalucía', '41004', 'España']",Andalucía,Sevilla
7,40.47209962,-3.87411513,B,POINT (-3.87411513 40.47209962),"Parroquia de Santa Catalina Mártir, 4, Plaza de la Iglesia, Majadahonda, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28220, España","('40.47209962', '-3.87411513')","['Parroquia de Santa Catalina Mártir', '4', 'Plaza de la Iglesia', 'Majadahonda', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28220', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares
8,40.50491857,-3.53147048,B,POINT (-3.53147048 40.50491857),"Parroquia San Vicente Mártir, Callejón de la Iglesia, Paracuellos de Jarama, Cuenca del Medio Jarama, Comunidad de Madrid, 28860, España","('40.50491857', '-3.53147048')","['Parroquia San Vicente Mártir', 'Callejón de la Iglesia', 'Paracuellos de Jarama', 'Cuenca del Medio Jarama', 'Comunidad de Madrid', '28860', 'España']",Comunidad de Madrid,Cuenca del Medio Jarama
9,36.83892362,-2.46413188,B,POINT (-2.46413188 36.83892362),"Oficina de Correos, Calle Padre Luque, El Santo, Oliveros, Almería, Andalucía, 04001, España","('36.83892362', '-2.46413188')","['Oficina de Correos', 'Calle Padre Luque', 'El Santo', 'Oliveros', 'Almería', 'Andalucía', '04001', 'España']",Andalucía,Almería
10,27.88249513,-15.72255059,B,POINT (-15.72255059 27.88249513),"Calle Campo Santo, Los Pasitos, Mogán, Las Palmas, Canarias, 35140, España","('27.88249513', '-15.72255059')","['Calle Campo Santo', 'Los Pasitos', 'Mogán', 'Las Palmas', 'Canarias', '35140', 'España']",Canarias,Las Palmas
11,28.49756179,-13.85922764,B,POINT (-13.85922764 28.49756179),"Avenida de los Reyes de Espana, Barriada del Rosario, El Charco, Puerto del Rosario, Las Palmas, Canarias, España","('28.49756179', '-13.85922764')","['Avenida de los Reyes de Espana', 'Barriada del Rosario', 'El Charco', 'Puerto del Rosario', 'Las Palmas', 'Canarias', 'España']",Las Palmas,Puerto del Rosario
12,37.40429728,-1.5811258,B,POINT (-1.5811258 37.40429728),"Iglesia de San José, Calle Juan Pablo I, Águilas, Alto Guadalentín, Región de Murcia, 30880, España","('37.40429728', '-1.5811258')","['Iglesia de San José', 'Calle Juan Pablo I', 'Águilas', 'Alto Guadalentín', 'Región de Murcia', '30880', 'España']",Región de Murcia,Alto Guadalentín
13,42.87999954,-8.546107172,B,POINT (-8.546107172 42.87999954),"Concello de Santiago de Compostela, Praza do Obradoiro, A Poza de Bar, Santiago de Compostela, Vite, Santiago de Compostela, Santiago, Galicia, 15705, España","('42.87999954', '-8.546107172')","['Concello de Santiago de Compostela', 'Praza do Obradoiro', 'A Poza de Bar', 'Santiago de Compostela', 'Vite', 'Santiago de Compostela', 'Santiago', 'Galicia', '15705', 'España']",Galicia,Santiago
14,38.41255111,-4.89754391,B,POINT (-4.89754391 38.41255111),"Iglesia de San Sebastián, Calle Iglesia, Añora, Córdoba, Andalucía, 14460, España","('38.41255111', '-4.89754391')","['Iglesia de San Sebastián', 'Calle Iglesia', 'Añora', 'Córdoba', 'Andalucía', '14460', 'España']",Andalucía,Córdoba
15,41.38424664,2.17634927,B,POINT (2.17634927 41.38424664),"Catedral de la Santa Creu i Santa Eulàlia, Carrer dels Comtes, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","('41.38424664', '2.17634927')","['Catedral de la Santa Creu i Santa Eulàlia', 'Carrer dels Comtes', 'el Gòtic', 'Ciutat Vella', 'Barcelona', 'Barcelonès', 'Barcelona', 'Catalunya', '08001', 'España']",Catalunya,Barcelona
16,37.59232558,-4.63785702,B,POINT (-4.63785702 37.59232558),"Castillo de Montilla, San Juan Bosco, Montilla, Córdoba, Andalucía, 14550, España","('37.59232558', '-4.63785702')","['Castillo de Montilla', 'San Juan Bosco', 'Montilla', 'Córdoba', 'Andalucía', '14550', 'España']",Andalucía,Córdoba
17,41.38424664,2.17634927,B,POINT (2.17634927 41.38424664),"Catedral de la Santa Creu i Santa Eulàlia, Carrer dels Comtes, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","('41.38424664', '2.17634927')","['Catedral de la Santa Creu i Santa Eulàlia', 'Carrer dels Comtes', 'el Gòtic', 'Ciutat Vella', 'Barcelona', 'Barcelonès', 'Barcelona', 'Catalunya', '08001', 'España']",Catalunya,Barcelona
18,28.96023609,-13.5515188,B,POINT (-13.5515188 28.96023609),"Calle Rio de Oro, Arrecife Centro, Arrecife, Las Palmas, Canarias, 35509, España","('28.96023609', '-13.5515188')","['Calle Rio de Oro', 'Arrecife Centro', 'Arrecife', 'Las Palmas', 'Canarias', '35509', 'España']",Canarias,Las Palmas
