id,lat,lon,category,geometry,address,geom,address_list,region,city,clusters
5693,27.9942018,-15.41666551,A,POINT (-15.41666551 27.9942018),"Calle Gago Coutinho, La Rocha, San José de las Longueras, Telde, Las Palmas, Canarias, 35200, España","('27.9942018', '-15.41666551')","['Calle Gago Coutinho', 'La Rocha', 'San José de las Longueras', 'Telde', 'Las Palmas', 'Canarias', '35200', 'España']",Canarias,Las Palmas,1
5694,41.19786799,1.63406068,A,POINT (1.63406068 41.19786799),"La Diligència, Carrer Major, Nucli Antic de Cunit, Cunit, Baix Penedès, Tarragona, Catalunya, 43881, España","('41.19786799', '1.63406068')","['La Diligència', 'Carrer Major', 'Nucli Antic de Cunit', 'Cunit', 'Baix Penedès', 'Tarragona', 'Catalunya', '43881', 'España']",Catalunya,Tarragona,3
5695,40.5470547,-3.62671879,A,POINT (-3.62671879 40.5470547),"Parroquia de San Sebastián Mártir, Plaza de la Constitución, San Sebastián de los Reyes, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28703, España","('40.5470547', '-3.62671879')","['Parroquia de San Sebastián Mártir', 'Plaza de la Constitución', 'San Sebastián de los Reyes', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28703', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares,9
5696,39.56889081,3.20952136,A,POINT (3.20952136 39.56889081),"5, Carrer d'en Bosch, es Barracar, Manacor, Llevant, Illes Balears, 07500, España","('39.56889081', '3.20952136')","['5', ""Carrer d'en Bosch"", 'es Barracar', 'Manacor', 'Llevant', 'Illes Balears', '07500', 'España']",Illes Balears,Llevant,8
5697,36.70212746,-6.1287534,A,POINT (-6.1287534 36.70212746),"Colegio de Educación Infantil y Primaria Antonio Machado, Avenida de San Joaquín, El Paquete, Jerez de la Frontera, Campiña de Jerez, Cádiz, Andalucía, 11407, España","('36.70212746', '-6.1287534')","['Colegio de Educación Infantil y Primaria Antonio Machado', 'Avenida de San Joaquín', 'El Paquete', 'Jerez de la Frontera', 'Campiña de Jerez', 'Cádiz', 'Andalucía', '11407', 'España']",Andalucía,Cádiz,12
5698,40.43593987,-3.81581639,A,POINT (-3.81581639 40.43593987),"Iglesia de Nuestra Señora de la Consolación, Calle del Viento, Pozuelo Estación, Pozuelo de Alarcón, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28223, España","('40.43593987', '-3.81581639')","['Iglesia de Nuestra Señora de la Consolación', 'Calle del Viento', 'Pozuelo Estación', 'Pozuelo de Alarcón', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28223', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares,11
5699,37.49077779,-2.77485648,A,POINT (-2.77485648 37.49077779),"Calle Audiencia, Baza, Comarca de Baza, Granada, Andalucía, 18800, España","('37.49077779', '-2.77485648')","['Calle Audiencia', 'Baza', 'Comarca de Baza', 'Granada', 'Andalucía', '18800', 'España']",Andalucía,Granada,6
5700,42.5476828,-6.59729457,A,POINT (-6.59729457 42.5476828),"41, Avenida de la Puebla, Flores del Sil, Ponferrada, El Bierzo, León, Castilla y León, 24402, España","('42.5476828', '-6.59729457')","['41', 'Avenida de la Puebla', 'Flores del Sil', 'Ponferrada', 'El Bierzo', 'León', 'Castilla y León', '24402', 'España']",Castilla y León,León,5
5701,43.21338372,-8.689273431,A,POINT (-8.689273431 43.21338372),"Casa do Concello, Rúa Cervantes, A Lagoa, Carballo, Bergantiños, Galicia, 15100, España","('43.21338372', '-8.689273431')","['Casa do Concello', 'Rúa Cervantes', 'A Lagoa', 'Carballo', 'Bergantiños', 'Galicia', '15100', 'España']",Galicia,Bergantiños,5
5702,41.54695899,2.10778994,A,POINT (2.10778994 41.54695899),"Sushi21, 28, Carrer de la Rosa, Centre, Sabadell, Vallès Occidental, Barcelona, Catalunya, 08201, España","('41.54695899', '2.10778994')","['Sushi21', '28', 'Carrer de la Rosa', 'Centre', 'Sabadell', 'Vallès Occidental', 'Barcelona', 'Catalunya', '08201', 'España']",Catalunya,Barcelona,10
5703,36.71005782,-4.63171653,A,POINT (-4.63171653 36.71005782),"Parroquia Pedro Apóstol, Calle Compás, Cártama, Valle del Guadalhorce, Málaga, Andalucía, 29580, España","('36.71005782', '-4.63171653')","['Parroquia Pedro Apóstol', 'Calle Compás', 'Cártama', 'Valle del Guadalhorce', 'Málaga', 'Andalucía', '29580', 'España']",Andalucía,Málaga,12
