cluster,polygon,centroids
0,"POLYGON ((-13.61201137 28.99986827, -6.36315877 36.62011111, -6.891977 37.23054376, -6.95040588 37.26004113, -7.02327311 37.2723312, -7.15548874 37.28348056, -7.40543973 37.22437276, -16.41614433 28.48128065, -16.72245684 28.12049369, -16.67960607 28.09912229, -15.54038408 27.91144865, -13.61201137 28.99986827))",POINT (-3.401057561818182 42.96541103022727)
1,"POLYGON ((-0.92991614 41.58939012, 1.05179778 41.0744517, 1.63406068 41.19786799, 1.67282672 41.20872584, 1.7238399 41.22721991, 2.03003252 41.49173695, 2.01215141 41.56236346, 1.82721026 41.72199594, -0.40842276 42.14062739, -0.87928652 41.65645655, -0.92991614 41.58939012))",POINT (-13.27071085795455 30.736182857272723)
2,"POLYGON ((-3.60279693 40.03340145, -2.60714311 39.26755792, -3.36925102 40.48033232, -3.7042059 40.60490535, -3.68760088 40.40841191, -3.60279693 40.03340145))",POINT (-5.856769273863636 37.77033248772727)
3,"POLYGON ((1.30418187 38.98087489, 1.43622903 38.90666947, 4.26546555 39.88752218, 2.17634927 41.38424664, 2.01065601 41.39272464, 1.97680641 41.27877343, 1.30418187 38.98087489))",POINT (0.8121659781818154 41.473246426818186)
4,"POLYGON ((-6.14620494 36.41836916, -5.44774178 36.13137811, -5.34715803 36.16764411, -4.62378308 36.53902839, -4.57241989 36.59306145, -4.63171653 36.71005782, -4.86223442 37.04734424, -5.54691548 36.92280153, -6.36315877 36.62011111, -6.28414575 36.52171152, -6.14620494 36.41836916))",POINT (-3.7297055536363635 40.3614637275)
5,"POLYGON ((-6.37121092 39.47316762, -3.93131981 38.98651781, -3.76665012 40.65765068, -4.72334924 41.65232777, -5.75494831 41.49913956, -6.37121092 39.47316762))",POINT (-8.148806789022725 42.68167622045455)
6,"POLYGON ((-2.77485648 37.49077779, -2.68308803 36.75456705, -2.6150576 36.76467854, -2.46413188 36.83892362, -0.98210494 37.60017342, -0.79145529 37.83500571, -0.68302608 37.97775873, -0.55528061 38.1931155, -0.4831832 38.34548705, -0.79611046 38.47878894, -1.32702475 38.47617313, -2.77485648 37.49077779))",POINT (-1.3413889700000001 37.76512827068182)
7,"POLYGON ((-5.84372206 43.36232165, -8.233353008 43.48451427, -8.689273431 43.21338372, -8.993336922 42.55491668, -8.780163008 42.26376663, -8.6209544 42.16185882, -5.89911878 42.29654991, -5.84372206 43.36232165))",POINT (-3.944916299111111 37.04018180622222)
8,"POLYGON ((2.99099519 41.95621822, 2.96027805 42.2678359, 2.25573569 41.92838354, 2.08098195 41.53329124, 2.08526472 41.47345403, 2.17634927 41.38424664, 2.84739507 41.69957944, 2.99099519 41.95621822))",POINT (2.2127509947727266 40.689510372045454)
9,"POLYGON ((-2.94721111 35.29072222, -2.81490838 36.77576137, -3.7903594 37.7651913, -4.32426689 38.27037293, -4.71932943 37.66833878, -4.5604509 36.66314911, -2.94721111 35.29072222))",POINT (-3.5594352122727275 40.39818374136364)
10,"POLYGON ((-5.84372206 43.36232165, -5.68006912 42.00172902, -3.68924298 41.67155079, -1.60578122 42.06346352, -1.55206982 42.82511849, -1.98191785 43.31717158, -3.809722222 43.46216667, -5.65949323 43.53920222, -5.84372206 43.36232165))",POINT (2.3122959561363623 41.587214314545456)
11,"POLYGON ((-3.68760088 40.40841191, -3.82849494 40.35156977, -3.7708691 40.23782083, -3.69824953 40.24318238, -3.68760088 40.40841191))",POINT (-4.268306142727273 40.48182384977273)
12,"POLYGON ((-0.43660694 38.40151192, 1.30418187 38.98087489, -0.06448283 39.94591018, -1.10927177 40.34412951, -1.05099973 39.10639401, -0.43660694 38.40151192))",POINT (-5.275228015333332 36.56961382955556)
13,"POLYGON ((-5.79980751 38.97390781, -6.97099704 38.87874339, -6.55312863 37.3876449, -6.35311695 36.77598004, -5.41641222 37.33366244, -5.07543598 37.54077247, -4.78032455 37.87954225, -4.89754391 38.41255111, -5.79980751 38.97390781))",POINT (-0.3109691343181824 39.38365636727273)
